proper,ra,dec,mag,hip
Xami,14.708492,-64.975138,3.18,71908
,14.717673,-5.658207,3.87,71957
Izar,14.749784,27.074222,2.35,72105
,14.770812,1.892885,3.73,72220
Paradys,14.797701,-79.044751,3.83,72370
Kochab,14.845105,74.155505,2.07,72607
Zubenelgenubi,14.847977,-16.041778,2.75,72622
,14.975537,-43.13396,2.68,73273
,14.986025,-42.104194,3.13,73334
Nekkar,15.032436,40.390566,3.49,73555
Brachium,15.067839,-25.281965,3.25,73714
,15.085303,-47.051245,3.91,73807
,15.198918,-48.737819,3.88,74376
,15.20476,-52.099247,3.41,74395
,15.258376,33.314833,3.46,74666
Zubeneschamali,15.283449,-9.382917,2.61,74785
,15.315181,-68.679545,2.87,74946
Pherkad,15.345483,71.834016,3.0,75097
,15.356201,-40.647518,3.22,75141
,15.36344,-36.261376,3.57,75177
,15.378021,-44.689622,3.37,75264
Edasich,15.415494,58.966065,3.29,75458
Nusakan,15.463818,29.105703,3.66,75695
Alphecca,15.578128,26.714693,2.22,76267
,15.580041,10.538867,3.8,76276
,15.585681,-41.166757,2.8,76297
Zubenelhakrabi,15.592105,-14.789537,3.91,76333
,15.61707,-28.135079,3.6,76470
,15.64427,-29.777754,3.66,76600
,15.712381,26.295637,3.81,76952
Unukalhai,15.737798,6.425627,2.63,77070
Zhou,15.769793,15.421826,3.65,77233
,15.827002,-3.430208,3.54,77516
,15.846935,4.47773,3.71,77622
,15.849316,-33.627165,3.97,77634
,15.919083,-63.430727,2.83,77952
,15.940882,15.661617,3.85,78072
Iklil,15.948077,-29.214073,3.87,78104
Fang,15.980865,-26.114105,2.89,78265
,16.002036,-38.396706,3.42,78384
Dschubba,16.005557,-22.62171,2.29,78401
Acrab,16.09062,-19.805453,2.56,78820
,16.113452,-20.669192,3.93,78933
Yed Prior,16.239094,-3.694323,2.73,79593
,16.257297,-63.685682,3.86,79664
Yed Posterior,16.305358,-4.692511,3.23,79882
,16.329011,46.313366,3.91,79992
Alniyat,16.353143,-25.592796,2.9,80112
,16.365338,19.15313,3.74,80170
Athebyne,16.39986,61.514213,2.73,80331
Antares,16.490128,-26.432002,1.06,80763
Kornephoros,16.503668,21.489613,2.78,80816
Marfik,16.515229,1.983923,3.82,80883
,16.557609,-78.897148,3.86,81065
Paikauhale,16.598043,-28.216016,2.82,81266
,16.619316,-10.56709,2.54,81377
,16.688113,31.602726,2.81,81693
,16.714933,38.922254,3.48,81833
Atria,16.811077,-69.027715,1.91,82273
,16.82976,-59.041378,3.77,82363
Larawag,16.83608,-34.293232,2.29,82396
Xamidimura,16.864509,-38.04738,3.0,82514
Pipirima,16.872263,-38.017536,3.56,82545
,16.909731,-42.361313,3.62,82729
,16.961139,9.375033,3.19,83000
,16.977006,-55.990141,3.12,83081
,17.004827,30.926405,3.92,83207
